,,,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,#NAME?
Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
318,Garrison Mathews,Projected,4.3,10.4,3.3,8.3,2.3,2.8,0.7,3.9,2.3,1,0.5,1.2,3.6,14.2,0.417,0.397,0.819,mathega01
319,Bennedict Mathurin,Projected,6.8,14.6,1.7,4.9,4.7,5.6,1.5,6.2,2.5,0.8,0.4,2.2,2.7,20,0.463,0.356,0.833,mathube01
320,Karlo Matković,Projected,6.3,11.2,1.2,3.4,1.7,2.2,2.7,9.1,2.5,1.1,1.7,2,4.4,15.4,0.56,0.337,0.781,matkoka01
321,Tyrese Maxey,Projected,8.7,19.2,2.9,8.1,4.4,5.1,0.4,3.5,5.7,1.3,0.4,1.9,2.1,24.7,0.452,0.362,0.873,maxeyty01
322,Miles McBride,Projected,5.2,12.3,2.6,6.9,1.3,1.6,1,3.6,3.9,1.5,0.4,1,2.6,14.4,0.426,0.382,0.813,mcbrimi01
323,Jared McCain,Projected,7.6,15.9,2.9,7.5,3,3.4,1,4.2,3.8,1,0.2,2.2,2.3,21,0.475,0.393,0.862,mccaija01
324,Mac McClung,Projected,6,13.1,1.9,5.5,2.5,3.2,1.6,6.5,4.4,1.1,0.7,2,3.1,16.3,0.457,0.349,0.772,mccluma01
325,CJ McCollum,Projected,8.2,18.6,3.4,8.7,2.3,3,0.8,4.4,4.7,1,0.5,2.1,2.3,22.1,0.442,0.387,0.748,mccolcj01
326,T.J. McConnell,Projected,8.1,15.5,0.5,1.5,1.5,1.9,1.1,5.1,9.1,2,0.4,2.9,2.2,18.2,0.524,0.347,0.763,mccontj01
327,Kevin McCullar Jr.,Projected,5.8,12.6,1.7,4.9,2.6,3.2,1.4,7.2,3.8,1.2,0.8,1.8,3.4,15.8,0.457,0.354,0.811,mcculke01
328,Jaden McDaniels,Projected,5.5,11.3,1.5,4.2,1.4,1.8,1.5,5.7,2.2,1.4,1,1.4,3.3,13.9,0.489,0.345,0.788,mcdanja02
329,Jalen McDaniels,Projected,5.1,12.2,1.3,4.6,2.1,2.7,1.3,6,2.8,1.4,0.6,1.9,3.5,13.7,0.419,0.28,0.788,mcdanja01
330,Doug McDermott,Projected,5.4,12.5,3.6,8.9,0.9,1.3,0.6,3.2,2.3,0.6,0.2,1.2,2.9,15.4,0.437,0.41,0.702,mcderdo01
331,Bryce McGowens,Projected,4.6,10.4,1.4,4.3,2.9,3.6,1,4.7,2.6,0.9,0.5,1.6,2.8,13.5,0.442,0.335,0.784,mcgowbr01
332,Jordan McLaughlin,Projected,4.2,9.1,2.1,5.1,1.5,2,1,4.2,5.9,1.7,0.3,1.6,2,11.9,0.456,0.412,0.769,mclaujo01
333,Jack McVeigh,Projected,5.8,13.5,2.3,6.7,2,2.6,1.7,6.1,3.3,1,0.9,2,2.7,15.9,0.429,0.342,0.78,mcveija01
334,De'Anthony Melton,Projected,5.2,12.5,2.7,7.3,1.9,2.4,1.2,5.4,3.9,2,0.6,1.7,3.3,15,0.415,0.372,0.796,meltode01
335,Sam Merrill,Projected,4.8,11.7,3.7,9.8,0.9,1,1,4.2,3.1,1.2,0.3,0.9,3,14.2,0.409,0.38,0.909,merrisa01
336,Vasilije Micić,Projected,4.7,12.2,1.8,5.3,1.8,2.2,0.8,3.8,6.4,0.8,0.2,3.2,2.2,13,0.388,0.329,0.813,micicva01
337,Khris Middleton,Projected,7.1,15,2.1,5.9,2.8,3.3,0.8,6,6.4,1.3,0.4,2.7,3.3,19.1,0.473,0.36,0.843,middlkh01
338,Brandon Miller,Projected,7.5,17.2,3.3,8.9,2.4,2.9,1,5.1,3.3,1.1,0.7,2.3,2.8,20.7,0.435,0.373,0.843,millebr02
339,Emanuel Miller,Projected,6.2,13.1,1.8,5,2.6,3.2,2.2,7.3,3.9,1.3,0.6,1.8,2.9,16.8,0.477,0.353,0.809,milleem01
340,Jordan Miller,Projected,5.4,12,1.1,3.9,2.5,3.1,1.9,5.5,3.2,1.4,0.5,2.2,2.4,14.3,0.45,0.278,0.801,millejo02
341,Leonard Miller,Projected,6.8,13.8,1.7,5.2,3.3,3.9,2.1,8.4,3.7,1.4,0.8,1.9,2.7,18.6,0.491,0.32,0.849,millele01
342,Dariq Whitehead,Projected,6,13.5,3.7,8.6,1.3,1.8,1,5.4,2.8,1,0.4,2,2.9,16.9,0.44,0.431,0.734,whiteda01
343,Patty Mills,Projected,4.6,11.8,2.5,7.6,1.5,1.8,0.8,3.5,3.2,1.4,0.3,1.8,2.7,13.2,0.388,0.325,0.865,millspa02
344,Shake Milton,Projected,5.2,11.5,1.5,4.3,2.2,2.7,1.2,4.7,4.4,1,0.3,1.9,3,14,0.449,0.348,0.807,miltosh01
345,Justin Minaya,Projected,3.8,9.4,1.3,4.6,1.1,1.7,2.1,5.4,2.8,1.2,0.8,1.5,3.3,10,0.403,0.289,0.661,minayju01
346,Riley Minix,Projected,6,13,2,5.6,2.4,3.1,1.6,6.8,3.8,1.2,0.7,2,2.6,16.5,0.466,0.352,0.783,minixri01
347,Josh Minott,Projected,6.1,12.5,1.9,5.3,2.6,3.1,1.6,6.6,3,1.7,1.4,1.6,3.7,16.8,0.49,0.351,0.857,minotjo01
348,Yves Missi,Projected,5.2,9.4,0.2,0.5,2.4,3.7,4.6,11,2,0.7,1.8,1.5,2.6,13,0.552,0.357,0.647,missiyv01
349,Ajay Mitchell,Projected,5.8,11.6,1.6,4,2,2.4,1.2,4.7,4,1.5,0.4,1.8,3.7,15,0.498,0.386,0.819,mitchaj01
350,Davion Mitchell,Projected,4.3,9.2,1.6,4.2,1.1,1.5,0.7,3.2,5.8,1.1,0.3,2,3.1,11.3,0.466,0.382,0.712,mitchda01
351,Donovan Mitchell,Projected,9.3,20.6,3.6,9.6,4.8,5.7,0.9,5.1,5.6,1.6,0.4,2.5,2.3,26.9,0.452,0.369,0.837,mitchdo01
352,Evan Mobley,Projected,8,14.2,1.1,3,3.4,4.7,2.7,10.7,3.7,1,1.8,2.2,2.6,20.6,0.566,0.368,0.726,mobleev01
353,Isaiah Mobley,Projected,5.9,13.1,1.9,5.2,2.1,2.8,1.6,6.6,4.1,1.2,0.8,1.6,3.1,15.8,0.451,0.355,0.742,mobleis01
354,Jonathan Mogbo,Projected,4.7,10.3,0.7,2.4,1.8,2.4,2.9,8.6,4.1,1.5,0.9,1.9,3.6,11.8,0.45,0.28,0.744,mogbojo01
355,Malik Monk,Projected,7.3,16.5,2.6,7.6,3,3.5,0.6,4.4,6.5,1,0.7,2.8,2.8,20.2,0.444,0.338,0.854,monkma01
356,Moses Moody,Projected,5.7,12.5,2.6,6.9,2.3,2.9,1.4,4.9,2.2,1.3,0.7,1.3,2.6,16.3,0.454,0.379,0.796,moodymo01
357,Taze Moore,Projected,6.1,14.1,1.9,5.7,2.3,3.1,2.4,7.4,3.8,1.5,0.6,2.3,2.6,16.4,0.433,0.327,0.736,mooreta02
358,Wendell Moore Jr.,Projected,4.8,10.1,1.2,3.6,1.5,1.9,1.9,6.7,3.3,1.5,0.5,2,2.4,12.3,0.476,0.332,0.808,moorewe01
359,Ja Morant,Projected,9.5,20.5,2,6.4,6.1,7.5,0.9,5.3,8.4,1.4,0.3,4,2.5,27,0.462,0.313,0.811,moranja01
360,Markieff Morris,Projected,4.9,13.4,2.1,6.8,1.5,1.8,1,6,3.7,0.8,0.6,1.7,3.2,13.5,0.368,0.315,0.809,morrima02
361,Monte Morris,Projected,5.2,12,1.9,5.2,1.9,2.3,0.8,4.6,5.1,1.2,0.4,1.3,1.6,14.2,0.438,0.368,0.818,morrimo01
362,Trey Murphy III,Projected,6.8,14.8,3.2,8.4,3.4,3.9,1,5.4,3.2,1.1,0.7,1.5,2,20.2,0.461,0.377,0.871,murphtr02
363,Dejounte Murray,Projected,7.9,18,2.2,6.4,2.9,3.6,0.8,6,6.8,1.7,0.4,2.9,1.9,20.8,0.438,0.339,0.808,murrade01
364,Jamal Murray,Projected,8.1,17.2,2.5,6.2,3.1,3.6,0.8,4.2,6.3,1.3,0.5,2.2,2,21.9,0.474,0.4,0.87,murraja01
365,Keegan Murray,Projected,5.5,12.1,2.4,6.5,1.1,1.3,1.8,6.6,1.7,0.9,0.9,0.9,2.6,14.4,0.455,0.361,0.826,murrake02
366,Kris Murray,Projected,4.2,10,1.2,4.5,1.1,1.9,2.4,6.3,2.4,1.3,0.6,1.5,2.4,10.7,0.423,0.26,0.568,murrakr01
367,Svi Mykhailiuk,Projected,5.6,13.7,3.2,8.9,1.4,1.8,1.1,4.6,3.6,1,0.3,2.1,2.1,15.8,0.408,0.359,0.772,mykhasv01
368,Larry Nance Jr.,Projected,5.1,9.5,1.4,3.4,1.3,1.8,2.3,8.4,3.2,1.6,0.8,1.4,3,12.9,0.534,0.415,0.741,nancela02
369,Pete Nance,Projected,5,10.9,2.2,5.7,1.5,2,1.4,6.1,3.2,0.9,0.6,1.6,3.4,13.5,0.454,0.379,0.71,nancepe01
370,Andrew Nembhard,Projected,5.1,10.8,1.2,3.7,1.7,2.1,0.7,3.9,6.1,1.4,0.2,2.1,2.9,13,0.472,0.324,0.797,nembhan01
371,Aaron Nesmith,Projected,5.9,11.9,2.6,6.1,2.2,2.6,1.2,5.5,2,1.1,0.7,1.3,4,16.6,0.495,0.418,0.847,nesmiaa01
372,Tristen Newton,Projected,6,13.7,1.9,5.7,2.5,3.2,1.9,6.9,4.1,1.3,0.7,2.3,3.3,16.3,0.436,0.33,0.799,newtotr01
373,Georges Niang,Projected,5.8,12.8,3.2,8.3,1.1,1.3,0.8,5.6,2.3,0.6,0.3,1.6,4,15.9,0.453,0.392,0.81,niangge01
374,Daishen Nix,Projected,4.8,11.4,1.9,5.7,2,2.7,1.1,5.3,4.7,1.3,0.5,3,2.5,13.5,0.423,0.331,0.713,nixda01
375,Zeke Nnaji,Projected,4.7,9.4,1,3,2,3.1,2.5,6.3,1.9,1.3,2,1.3,4,12.4,0.496,0.326,0.667,nnajize01
376,Miles Norris,Projected,5.6,12.6,2.1,5.9,2.3,3,1.7,7.1,3.3,1.4,0.8,1.7,2.3,15.5,0.442,0.35,0.752,norrimi01
377,Jaylen Nowell,Projected,6.6,15.3,1.7,5.8,2,2.6,1.2,5,3.8,0.9,0.5,1.8,2.6,16.9,0.431,0.3,0.75,nowelja01
378,Jusuf Nurkić,Projected,5.7,11.7,0.8,2.8,2.9,4.4,3.2,13.2,4.4,1.3,1.2,3.1,4.4,15.2,0.491,0.301,0.657,nurkiju01
379,Royce O'Neale,Projected,4.4,10.7,3.1,8,0.5,0.7,1.1,6.7,3.6,1.2,0.7,1.4,3.1,12.4,0.411,0.389,0.725,onealro01
380,Jahlil Okafor,Projected,6.1,13.1,2,5.5,2.5,3.2,1.6,6.6,4.1,1.2,0.7,2.1,2.7,16.6,0.465,0.358,0.778,okafoja01
381,Chuma Okeke,Projected,4.1,9.6,1.9,5.8,1,1.4,2.3,7.2,2.7,1,0.7,1.3,1.8,11.2,0.43,0.333,0.737,okekech01
382,Josh Okogie,Projected,4.7,10.7,1.6,4.7,3.3,4.4,2.6,6.3,2.4,2.1,0.9,1.7,2.7,14.2,0.435,0.34,0.745,okogijo01
383,Onyeka Okongwu,Projected,6.5,11.2,0.8,2.3,2.8,3.6,3.8,11,2.7,1.1,1.3,1.5,3.6,16.6,0.581,0.335,0.773,okongon01
384,Isaac Okoro,Projected,4.5,9.3,1.8,4.6,1.6,2.2,1.5,4.4,2.5,1.1,0.6,1,3.1,12.3,0.483,0.382,0.716,okorois01
385,Quincy Olivari,Projected,6.2,13.6,2.1,6.3,2.4,3.1,1.6,6.3,4,1.2,0.7,2.2,2.6,16.9,0.455,0.341,0.785,olivaqu01
386,Kelly Olynyk,Projected,5.5,10.7,1.4,3.5,3.2,4,2.2,8,5.7,1.3,0.7,3.1,4.7,15.5,0.512,0.39,0.802,olynyke01
387,Kelly Oubre Jr.,Projected,6.4,14.1,1.5,5,2.7,3.6,1.6,6.2,1.9,1.5,0.6,1.5,3.2,17,0.455,0.304,0.751,oubreke01
388,Chris Paul,Projected,4.3,10.1,2,5.6,1.4,1.6,0.5,4.8,9,1.6,0.3,2,2.5,12,0.423,0.364,0.874,paulch01
389,Cameron Payne,Projected,5.9,14.3,2.9,7.8,1.7,2,0.6,3.6,6.2,1.2,0.5,1.9,3.5,16.4,0.414,0.368,0.862,payneca01
390,Elfrid Payton,Projected,3.6,9.8,0.5,1.7,0.8,1.2,1.2,5.8,9.7,1.6,0.8,3.7,2.6,8.6,0.372,0.321,0.712,paytoel01
391,Gary Payton II,Projected,6.2,11.1,1.2,3.7,1.1,1.6,2.1,6.8,3.1,1.9,0.7,1.6,4.1,14.7,0.553,0.34,0.708,paytoga02
392,Drew Peterson,Projected,4.8,10.4,2.4,6.1,1.9,2.4,1.7,7.1,3.2,1.2,0.5,1.8,3.1,13.8,0.457,0.392,0.782,peterdr01
393,Julian Phillips,Projected,4.4,9.6,1.7,4.9,2,2.5,2,5.5,1.6,1.2,0.7,1,3.4,12.4,0.458,0.341,0.786,phillju01
394,Jalen Pickett,Projected,4.6,10.4,2.2,5.6,0.8,1,0.9,4.4,5.5,1.1,0.3,1.5,2.3,12.2,0.441,0.39,0.769,pickeja02
395,Scotty Pippen Jr.,Projected,6.3,12.9,1.9,4.8,2.7,3.7,1.4,5.6,7.1,2.2,0.7,3,4.1,17.1,0.486,0.402,0.726,pippesc02
396,Daeqwon Plowden,Projected,6.8,13.1,2.8,6.5,2.1,2.6,1.8,6.3,3.1,0.9,0.5,2.1,3.4,18.4,0.519,0.429,0.806,plowdda01
397,Mason Plumlee,Projected,4.2,7,0.2,0.5,2.7,4.1,3.2,11.9,3.6,0.9,1.1,1.8,4,11.2,0.593,0.278,0.659,plumlma01
398,Brandin Podziemski,Projected,5.7,12.4,2.2,5.6,1.4,1.9,1.7,7.3,4.8,1.4,0.3,1.6,2.1,15,0.461,0.386,0.736,podzibr01
399,Jakob Poeltl,Projected,7.4,11.9,0.1,0.4,2,3.1,3.9,11.4,3.5,1.3,1.6,2.3,3.8,16.9,0.621,0.356,0.641,poeltja01
400,Jordan Poole,Projected,8,18.5,3.6,9.9,4,4.5,0.6,3.6,5.4,1.4,0.5,3.3,3.5,23.5,0.431,0.363,0.878,poolejo01
401,Craig Porter Jr.,Projected,5.8,11.3,1.3,3.2,2,2.7,1.3,5.5,5.4,1.2,0.9,2.5,2,14.8,0.51,0.406,0.74,portecr01
402,Kevin Porter Jr.,Projected,7.1,15.6,1.6,4.8,3.2,4.2,1.1,6.6,6.1,1.8,0.4,3.2,2.8,19,0.456,0.334,0.777,porteke02
403,Michael Porter Jr.,Projected,7.4,14.8,2.9,7.2,1.9,2.4,1.7,7.6,2.1,0.7,0.6,1.4,2.2,19.4,0.497,0.398,0.785,portemi01
404,Bobby Portis,Projected,8,16.5,1.8,4.9,1.8,2.3,2.6,11.3,2.5,1,0.6,1.7,2.9,19.6,0.482,0.378,0.804,portibo01
405,Kristaps Porziņģis,Projected,8.1,16.5,2.6,6.7,5,6.1,2,8.5,2.7,0.9,1.9,1.8,3.4,24,0.493,0.393,0.831,porzikr01
406,Quinten Post,Projected,6.5,14.2,3.5,8.6,1.4,1.8,1.8,7.6,3.2,0.9,0.9,1.8,4,17.9,0.458,0.407,0.784,postqu01
407,Micah Potter,Projected,3.6,8.1,1.7,5,1.2,1.4,2.1,8.1,2,0.8,0.8,1.6,2.6,10.1,0.445,0.338,0.813,pottemi01
408,Dwight Powell,Projected,3.6,5.7,0.3,0.8,2.3,3.4,3.3,7.9,3.3,1.1,1,1.4,4.7,9.8,0.629,0.353,0.683,poweldw01
409,Norman Powell,Projected,7.7,16.1,3.1,7.4,3.5,4.4,0.4,3.7,2.1,1.1,0.3,1.8,2.3,22,0.479,0.415,0.807,powelno01
410,Taurean Prince,Projected,4.2,9.3,2.4,5.7,0.9,1.1,0.5,4.5,2.5,1.1,0.4,1.4,2.7,11.6,0.451,0.416,0.787,princta02
411,Payton Pritchard,Projected,6.3,13.4,3.6,9,1.1,1.4,1.5,5,4.7,1,0.2,1.4,2,17.3,0.469,0.4,0.832,pritcpa01
412,Olivier-Maxence Prosper,Projected,4.8,11.2,1.1,3.8,3,4.4,2.6,7.8,2.8,1.4,0.5,1.1,2,13.6,0.423,0.288,0.678,prospol01
413,Zyon Pullin,Projected,6.2,13.3,2,5.5,2.5,3.2,1.7,6.6,4,1.2,0.7,2.1,2.7,16.9,0.468,0.368,0.785,pullizy01
414,Trevelin Queen,Projected,4.8,12.1,1.7,5.9,1.8,2.2,1.9,5.1,3.5,2.1,0.9,1.9,3.1,13.2,0.4,0.291,0.818,queentr01
415,Neemias Queta,Projected,5.9,9.6,0.3,0.9,2,2.7,3.7,9.9,2.2,0.9,1.7,1.7,4.3,14.1,0.618,0.328,0.752,quetane01
416,Immanuel Quickley,Projected,7,16.1,3.1,7.9,3.8,4.5,0.6,4.9,6.2,1,0.2,2,2.3,20.9,0.436,0.387,0.853,quickim01
417,Lester Quiñones,Projected,5.9,13.8,2.5,7.4,2.2,2.9,1.5,5.7,4,0.8,0.4,2.1,3.4,16.5,0.425,0.343,0.773,quinole01
418,Julius Randle,Projected,7.7,16.3,1.9,5.6,4.6,5.8,2.2,8.4,5,0.7,0.3,3.2,2.9,21.9,0.474,0.335,0.789,randlju01
419,Duop Reath,Projected,6.2,13.8,2.5,7.3,1.9,2.4,2.8,7.1,2.3,1,1.1,1.5,3.9,16.8,0.448,0.342,0.793,reathdu01
420,Austin Reaves,Projected,6.5,13.7,2.5,6.6,4.1,4.7,0.9,4.7,5.8,1,0.3,2.4,2.1,19.5,0.473,0.376,0.869,reaveau01
421,Cam Reddish,Projected,3.5,8.3,1.2,3.8,1.5,2.1,1.1,4.1,1.9,1.8,0.6,1.1,2.5,9.7,0.422,0.322,0.735,reddica01
422,Paul Reed,Projected,6,11.3,0.7,1.9,1.9,2.6,3.9,10.5,2.9,2,1.9,1.8,4.9,14.5,0.529,0.34,0.75,reedpa01
423,Alex Reese,Projected,5.2,10.9,2.3,6.3,2,2.5,1.6,7.3,2.1,1.5,1.3,1.5,3.2,14.7,0.478,0.367,0.77,reeseal01
424,Antonio Reeves,Projected,6.2,13.5,2.7,6.7,1.7,2.2,1.1,4.1,2.5,1.2,0.3,1.7,2.3,16.9,0.464,0.395,0.798,reevean01
425,Naz Reid,Projected,7.2,15.2,2.9,7.3,2,2.6,1.5,7.9,2.7,1,1.2,1.9,3.2,19.3,0.475,0.39,0.759,reidna01
426,Jared Rhoden,Projected,6,12.4,1.8,5.4,2.5,3,1.6,6.3,2.8,1.2,0.8,1.5,3.3,16.2,0.482,0.34,0.829,rhodeja01
427,Nick Richards,Projected,5.7,9.3,0.1,0.4,3.2,4.2,3.8,12,1.4,0.5,1.5,2,3.8,14.7,0.612,0.333,0.744,richani01
428,Josh Richardson,Projected,5,11.7,2.1,6.1,1.7,1.9,0.9,4.2,3.5,1.2,0.5,1.6,2.8,13.7,0.426,0.342,0.885,richajo01
429,Zaccharie Risacher,Projected,7.1,15,2.4,6.6,2.2,3,1.7,5.5,2,1.1,0.7,1.8,2.8,18.9,0.475,0.37,0.73,risacza01
430,Liam Robbins,Projected,5,11.2,1.5,4.5,2.7,4,2.4,6.9,3.3,1.2,0.9,2.5,3.5,14.2,0.446,0.338,0.671,robbili01
431,Duncan Robinson,Projected,5.8,13.1,3.6,9.3,1.2,1.4,0.4,3.5,3.5,0.8,0.2,1.8,2.9,16.3,0.438,0.388,0.874,robindu01
432,Mitchell Robinson,Projected,4.4,7.4,0.3,0.8,1.6,2.9,5.7,11.6,1.6,1.6,1.9,1.3,3,10.6,0.59,0.365,0.554,robinmi01
433,Orlando Robinson,Projected,5.4,11.6,1,2.7,2.5,3.2,3.7,9.8,3.7,0.9,0.8,2.2,4.3,14.2,0.463,0.357,0.772,robinor01
434,Jeremiah Robinson-Earl,Projected,4.9,10.5,1.7,4.8,1.5,1.8,3,8.8,2.6,1.1,0.3,1.5,2.4,12.9,0.464,0.347,0.821,robinje02
435,David Roddy,Projected,5.3,12,1.7,5.3,1.7,2.3,1.5,6.7,2.7,1,0.6,1.8,2.2,13.9,0.439,0.316,0.73,roddyda01
436,Ryan Rollins,Projected,6,12.1,2.1,5.2,2,2.4,1.1,5.2,4.6,1.9,0.8,2.4,3.6,16.1,0.494,0.414,0.8,rolliry01
437,Jackson Rowe,Projected,6,12.9,2,5.9,2.4,3.4,1.8,6.8,3.7,1.6,0.6,1.8,2.8,16.5,0.467,0.343,0.699,roweja01
438,Terry Rozier,Projected,6.5,15.6,2.3,7,2.4,2.9,0.9,4.8,4.6,1,0.3,1.8,1.8,17.6,0.413,0.322,0.847,roziete01
439,Rayan Rupert,Projected,4.5,10.8,1.5,4.7,1.7,2.2,1.8,5.7,2.9,1.1,0.3,2,2.9,12.2,0.415,0.33,0.779,ruperra01
440,D'Angelo Russell,Projected,6.6,15.4,2.9,8.1,2.7,3.2,0.5,3.8,6.9,1.2,0.5,2.5,2.5,18.7,0.427,0.361,0.828,russeda01
441,Matt Ryan,Projected,5.2,12.5,3,7.7,1.6,2,0.8,4.7,2.5,0.8,0.3,1.7,2.6,15.2,0.421,0.395,0.842,ryanma01
442,Domantas Sabonis,Projected,7.7,13.1,0.8,1.9,3.4,4.7,3.7,13.7,6.9,0.8,0.5,3.1,3.3,19.6,0.588,0.402,0.735,sabondo01
443,Tidjane Salaün,Projected,3.8,10.3,1.8,5.8,2.1,2.8,2,8.2,2.4,0.9,0.5,1.7,2.4,11.4,0.366,0.305,0.736,salauti01
444,Adama Sanogo,Projected,6.7,13.4,1.5,4,2.6,3.5,3.7,9,3.2,1,0.6,2.1,2.6,17.4,0.498,0.372,0.757,sanogad01
445,Gui Santos,Projected,4.5,9.4,1.7,5,1.7,2.3,3.2,8.1,3.8,1.2,0.5,1.9,4,12.4,0.476,0.349,0.752,santogu01
446,Dario Šarić,Projected,5.5,12.2,2,5.7,2.3,2.9,2.3,8.6,4.2,1.1,0.4,2.5,3.6,15.3,0.447,0.357,0.815,saricda01
447,Alex Sarr,Projected,6.7,16.1,2.1,6.6,2.3,3.3,2.5,8.7,3.4,0.9,2,2.2,2.8,17.8,0.414,0.326,0.7,sarral01
448,Marcus Sasser,Projected,6.1,13.3,2.5,6.5,1.8,2.2,0.7,3.6,5.9,1.4,0.3,2.3,2.9,16.5,0.455,0.383,0.848,sassema01
449,Baylor Scheierman,Projected,4.5,11.2,2.3,7,1.4,1.8,1.8,6.3,3.4,1.5,0.4,1.4,2.3,12.7,0.401,0.333,0.771,scheiba01
450,Dennis Schröder,Projected,5.7,13.7,2,5.8,3,3.5,0.5,3.5,6.6,1,0.2,2.3,2.8,16.3,0.415,0.348,0.835,schrode01
451,Alperen Şengün,Projected,8.7,16.7,0.5,1.6,4.3,6.1,3.7,11.4,5.5,1.3,0.9,2.8,3.3,22.2,0.52,0.285,0.704,sengual01
452,Brice Sensabaugh,Projected,6.8,14.6,3.6,8.6,1.9,2.1,1.1,5.7,3,1.1,0.3,2.6,2.7,18.9,0.462,0.414,0.884,sensabr01
453,Collin Sexton,Projected,8.5,17.4,2.2,5.5,4.8,5.5,1.3,3.7,5.7,1,0.2,3,2.9,23.9,0.485,0.401,0.858,sextoco01
454,Landry Shamet,Projected,5.4,12.1,2.8,7.4,1.3,1.6,0.7,3.4,2.2,1.1,0.3,1.3,2.9,14.8,0.445,0.376,0.779,shamela01
455,Terrence Shannon Jr.,Projected,6,12.5,1.5,4,2.1,2.6,1.3,5.6,3.6,0.9,0.6,1.7,2.8,15.6,0.483,0.362,0.802,shannte01
456,Day'Ron Sharpe,Projected,6.6,12.3,0.5,1.7,2.5,3.6,5.7,13.2,3.5,1.4,1.6,2.5,4.5,16.2,0.538,0.298,0.702,sharpda01
457,Shaedon Sharpe,Projected,7.6,16.5,2.3,7,3,3.8,1.2,5.4,3.2,1,0.3,2.3,2.2,20.5,0.459,0.331,0.796,sharpsh01
458,Jamal Shead,Projected,5.2,12.4,1.8,5.4,1.5,1.9,0.8,3.3,7.5,1.4,0.3,2.7,3.7,13.8,0.421,0.336,0.777,sheadja01
459,Ben Sheppard,Projected,3.9,9.2,2.1,6,1,1.1,1.2,5.1,2.6,1.2,0.4,0.8,3.6,10.9,0.427,0.343,0.864,sheppbe01
460,Reed Sheppard,Projected,5.1,13.1,2.6,7.3,1.1,1.4,1.1,4.9,4.2,1.8,0.9,2,2.8,13.9,0.388,0.354,0.805,sheppre01
461,Pascal Siakam,Projected,8.7,16.8,1.5,4.2,3.5,4.8,1.9,7.5,4.2,0.9,0.5,1.8,2.7,22.4,0.515,0.369,0.738,siakapa01
462,Ben Simmons,Projected,4.1,7.9,0.2,0.6,0.9,1.4,1.7,8.2,8.5,1.3,0.8,3.1,3.5,9.3,0.522,0.359,0.66,simmobe01
463,Anfernee Simons,Projected,7.7,17.7,3.4,9.1,3,3.3,0.5,3.3,5.3,0.8,0.1,2.3,2,21.7,0.434,0.373,0.9,simonan01
464,KJ Simpson,Projected,4.8,12.9,1.5,5.5,1.9,2.3,1.7,5.1,4.7,1.4,0.3,2.3,2.4,13.1,0.376,0.279,0.817,simpskj01
465,Jaylen Sims,Projected,5.3,11.6,2,5.3,3.1,3.9,1.4,4.7,3.9,1.1,0.6,2.3,2.9,15.6,0.457,0.377,0.791,simsja01
466,Jericho Sims,Projected,3.1,5.2,0.3,0.7,0.9,1.3,3.6,10.1,2,0.6,1.1,1.6,3.4,7.4,0.602,0.364,0.697,simsje01
467,Marcus Smart,Projected,5.4,13.1,2.4,7.1,2.5,3.3,0.9,3.9,5.7,2,0.5,2.9,3,15.7,0.412,0.336,0.76,smartma01
468,Dru Smith,Projected,4.8,10,2,4.6,1.5,2,1.6,5.3,3.6,2.2,0.8,2,3.6,13.2,0.48,0.44,0.779,smithdr01
469,Jabari Smith Jr.,Projected,5.5,12.2,2.1,5.7,2.3,2.8,2.1,8.8,1.6,0.7,0.9,1.3,2.7,15.4,0.453,0.363,0.821,smithja05
470,Jalen Smith,Projected,7.3,14.5,2.4,6.7,2.7,3.5,3.4,12.1,2.5,0.7,1.5,1.5,3.7,19.7,0.506,0.349,0.77,smithja04
471,Nick Smith Jr.,Projected,6,14.6,2.8,7.6,1.2,1.3,0.6,3.8,3.8,0.5,0.3,2,2.2,16,0.411,0.371,0.899,smithni01
472,Tolu Smith,Projected,6.7,13.5,1.8,4.9,2.6,3.4,2.3,7.4,3.5,1.1,0.7,2.2,3,17.9,0.499,0.366,0.765,smithto05
473,Tyler Smith,Projected,6.8,13.9,2.9,6.9,2.3,2.9,1.8,7.1,2.9,1.1,0.9,2.2,2.9,18.7,0.487,0.413,0.778,smithty02
474,Jeremy Sochan,Projected,6.3,12.7,1,3.1,2.2,2.9,2.8,8.6,3.8,1.1,0.7,2.2,3.1,15.8,0.499,0.319,0.735,sochaje01
475,Cam Spencer,Projected,5.5,12.3,2.5,6.7,2.7,2.9,1.7,5.3,4.6,1.3,0.4,1.4,3,16.1,0.443,0.369,0.905,spencca01
476,Pat Spencer,Projected,5.9,13.8,1.2,4.1,1.9,2.5,2,6.6,5.8,1.6,0.5,2.4,2.8,14.9,0.429,0.293,0.756,spencpa01
477,Jaden Springer,Projected,4.4,10.4,1.2,4.4,2.6,3.4,1.9,6,3.4,2.2,0.7,1.9,4,12.7,0.426,0.278,0.767,sprinja01
