,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
463,Isaiah Stevens,15,4.9,1.9,1.59,0.43,0.28,0.81,0.29,0.48,0.74,0.14,0.03,0.25
464,Spencer Jones,17,6.1,1.8,1.85,0.4,0.22,0.78,0.19,0.79,0.27,0.2,0.13,0.23
465,Riley Minix,17,4.0,1.2,1.02,0.45,0.2,0.81,0.16,0.99,0.17,0.13,0.09,0.21
466,Emanuel Miller,15,4.0,1.6,1.33,0.49,0.32,0.73,0.05,1.05,0.22,0.14,0.05,0.18
467,Harrison Ingram,17,6.1,1.5,1.47,0.41,0.28,0.62,0.17,1.28,0.39,0.2,0.06,0.3
468,Ulrich Chomche,8,4.0,0.9,0.86,0.41,0.19,0.56,0.07,1.23,0.23,0.15,0.18,0.26
469,Joe Ingles,45,5.9,1.4,1.23,0.4,0.05,0.81,0.34,0.54,1.04,0.12,0.03,0.44
470,Daniss Jenkins,17,5.1,1.6,1.57,0.38,0.23,0.74,0.27,0.52,0.6,0.16,0.07,0.25
471,Isaiah Crawford,15,3.9,1.3,1.11,0.41,0.34,0.71,0.14,0.66,0.2,0.17,0.12,0.17
472,Yuki Kawamura,15,3.9,1.3,1.14,0.33,0.35,0.8,0.28,0.48,0.81,0.12,0.03,0.25
473,Tolu Smith,17,8.1,2.7,2.38,0.45,0.88,0.65,0.0,2.23,0.37,0.18,0.11,0.66
474,Jacob Toppin,17,3.0,1.0,0.95,0.39,0.14,0.74,0.15,0.62,0.22,0.08,0.07,0.13
475,Pete Nance,17,3.0,0.9,0.7,0.44,0.1,0.63,0.17,0.55,0.2,0.06,0.06,0.12
476,Trentyn Flowers,15,3.9,1.7,1.44,0.46,0.36,0.68,0.11,0.74,0.17,0.08,0.03,0.16
477,Jamaree Bouyea,15,3.1,0.9,0.83,0.45,0.12,0.68,0.1,0.29,0.4,0.11,0.05,0.26
478,Fred VanVleet,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
