,PLAYER,POS,TEAM,GP,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
56,Kristaps Porzingis,"PF,C",ATL,69.0,27.9,18.6,0.49,0.832,2.0,6.8,2.0,0.9,1.4,1.5
57,Cooper Flagg,"PF,SF",DAL,76.0,31.9,18.5,0.481,0.808,1.6,6.5,3.7,1.2,1.0,2.2
58,Brandon Miller,"PF,SF,SG",CHA,71.0,33.0,18.4,0.418,0.845,3.1,4.3,2.8,0.9,0.7,2.2
59,Austin Reaves,"PG,SF,SG",LAL,76.0,34.8,18.2,0.48,0.871,2.4,4.2,5.4,0.9,0.3,2.3
60,Nikola Vucevic,C,CHI,76.0,32.7,18.0,0.51,0.816,1.6,10.2,3.5,0.8,0.7,1.7
61,Mikal Bridges,"PF,SF,SG",NYK,79.0,36.8,18.0,0.486,0.837,2.1,3.6,3.5,1.0,0.5,1.6
62,Michael Porter Jr.,"SF,PF",BKN,76.0,33.5,17.9,0.464,0.785,2.8,6.5,2.0,0.7,0.5,1.3
63,Scottie Barnes,"SG,SF,PF",TOR,74.0,34.0,17.8,0.455,0.765,1.1,7.4,5.5,1.3,1.0,2.7
64,CJ McCollum,"PG,SG",WAS,72.0,29.7,17.7,0.433,0.756,2.9,3.6,4.0,0.7,0.5,1.7
65,Josh Giddey,"PG,SG,SF",CHI,75.0,33.7,17.4,0.47,0.781,1.6,8.3,8.1,1.0,0.6,3.3
66,Bennedict Mathurin,"SG,SF",IND,75.0,30.7,17.2,0.448,0.83,1.4,5.2,2.1,0.7,0.3,2.0
67,Evan Mobley,"PF,C",CLE,74.0,31.8,17.1,0.554,0.715,0.9,9.3,3.1,0.9,1.4,2.0
68,Jaden Ivey,"PG,SG",DET,69.0,30.5,17.0,0.441,0.746,1.9,4.0,4.4,0.9,0.4,2.9
69,Andrew Wiggins,"PF,SF,SG",MIA,75.0,31.6,16.8,0.45,0.744,1.9,4.7,2.5,1.0,0.8,1.5
70,Deni Avdija,"SF,PF",POR,75.0,32.8,16.8,0.461,0.767,1.7,7.9,4.0,1.0,0.5,2.8
