,PLAYER,POS,TEAM,ADP,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO,TOTAL
527,Ariel Hukporti,C,NY,0.0,25.0,8.7,1.9,0.9,1.3,0.68,0.5,0.2,0.453,0.0,2.1,0.4,0.0,0.6,0.9,-10.87
528,Doug McDermott,"SF,PF",SAC,0.0,30.0,11.1,4.5,1.6,3.6,0.432,0.2,0.1,0.591,1.2,0.7,0.7,0.2,0.0,0.3,-10.88
529,Wendell Moore Jr.,SF,FA,0.0,30.0,8.4,2.5,1.0,2.1,0.474,0.3,0.3,0.818,0.2,1.6,0.7,0.4,0.1,0.5,-10.93
530,Caleb Love,,POR,0.0,30.0,11.2,5.0,2.0,10.0,0.2,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,-10.94
531,Yanic Konan Niederhauser,C,LAC,0.0,30.0,8.4,3.2,1.2,2.3,0.535,1.1,0.8,0.664,0.0,1.6,0.2,0.2,0.6,0.4,-10.95
532,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,Liam McNeeley,SF,CHA,0.0,40.0,12.4,4.2,1.3,3.3,0.383,1.4,1.2,0.85,0.5,1.7,0.7,0.2,0.1,0.6,-11.03
534,Kevin Knox II,"SF,PF",FA,0.0,22.0,12.0,5.1,2.0,4.2,0.469,0.6,0.5,0.875,0.7,1.7,0.5,0.3,0.2,0.5,-11.1
535,Pelle Larsson,"SG,SF",MIA,0.0,40.0,10.2,3.3,1.2,2.7,0.438,0.8,0.5,0.675,0.4,1.2,0.9,0.4,0.1,0.3,-11.18
536,Noah Penda,SF,ORL,0.0,44.0,10.4,2.9,1.0,2.3,0.429,0.9,0.6,0.67,0.3,1.6,0.8,0.3,0.3,0.5,-11.27
537,Isaac Jones,"PF,C",SAC,0.0,40.0,7.6,3.4,1.4,2.1,0.648,0.9,0.6,0.637,0.1,1.4,0.3,0.1,0.3,0.4,-11.28
538,Rayan Rupert,"PG,SG",POR,0.0,45.0,12.5,3.6,1.3,3.5,0.369,0.6,0.5,0.766,0.5,1.9,1.0,0.3,0.1,0.7,-11.3
539,Bronny James,"PG,SG",LAL,135.7,30.0,9.7,3.4,1.1,3.6,0.315,0.8,0.6,0.776,0.5,1.0,1.2,0.5,0.2,0.7,-11.41
540,Chris Duarte,SG,FA,0.0,38.0,8.3,2.8,1.0,2.5,0.39,0.4,0.3,0.791,0.5,1.3,0.6,0.3,0.1,0.3,-11.43
541,MarJon Beauchamp,"SG,SF",FA,0.0,41.0,8.6,3.3,1.2,2.6,0.468,0.6,0.4,0.709,0.5,1.6,0.5,0.2,0.1,0.5,-11.48
542,Brandon Williams,PG,DAL,0.0,20.0,8.7,4.8,1.7,3.5,0.489,1.2,1.0,0.795,0.4,1.0,1.4,0.4,0.1,0.7,-11.53
543,Torrey Craig,"SF,PF",FA,0.0,10.0,10.9,3.3,1.2,2.8,0.428,0.4,0.3,0.718,0.7,2.3,0.6,0.3,0.3,0.3,-11.56
544,Hugo González,SF,BOS,0.0,30.0,12.4,3.0,1.0,2.5,0.409,0.9,0.6,0.701,0.4,1.5,0.5,0.3,0.3,0.5,-11.6
545,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,Quenton Jackson,,IND,0.0,15.0,8.6,3.6,1.3,2.7,0.473,0.9,0.7,0.785,0.3,1.1,1.2,0.5,0.1,0.4,-11.65
547,Joan Beringer,C,MIN,0.0,40.0,8.4,1.8,0.7,1.4,0.525,0.6,0.3,0.567,0.0,1.6,0.2,0.2,0.5,0.2,-11.67
548,Jordan McLaughlin,"PG,SG",SA,0.0,20.0,9.0,2.7,0.9,2.1,0.438,0.4,0.3,0.744,0.6,1.0,1.6,0.5,0.1,0.3,-11.69
549,Jaylen Nowell,SG,FA,0.0,10.0,18.7,7.3,3.0,7.5,0.398,1.0,0.7,0.697,0.7,2.2,1.8,0.3,0.3,0.7,-11.71
