PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Ben Saraf,12.0,16.9,5.4,1.8,5.2,0.355,1.3,1.0,0.8,0.8,1.6,2.8,0.7,0.3,1.9
Mike Conley,24.0,19.1,5.3,1.5,4.3,0.363,1.2,1.1,0.931,1.1,1.8,3.2,0.6,0.1,0.7
Keon Ellis,24.0,17.0,5.3,1.8,4.6,0.4,0.8,0.4,0.526,1.3,1.3,0.7,1.2,0.4,0.4
Drew Eubanks,25.0,14.4,5.3,2.2,3.6,0.615,1.5,0.8,0.526,0.0,2.8,0.3,0.5,0.7,0.9
Craig Porter Jr.,23.0,16.9,5.3,2.2,4.2,0.521,0.7,0.3,0.533,0.6,3.3,2.4,1.0,0.6,0.7
Jaxson Hayes,21.0,16.8,5.2,2.1,3.0,0.726,1.4,0.9,0.621,0.0,4.0,1.0,0.3,0.8,0.4
Dean Wade,24.0,22.2,5.2,1.7,4.7,0.366,1.0,0.8,0.72,1.0,3.8,1.6,0.8,0.5,0.3
Jordan Hawkins,22.0,14.4,5.1,1.9,5.5,0.342,0.5,0.4,0.667,1.0,1.6,0.9,0.1,0.1,0.5
Taylor Hendricks,13.0,14.5,5.1,1.8,4.4,0.404,1.2,0.8,0.733,0.7,3.6,0.5,0.4,0.3,0.5
Garrison Mathews,10.0,14.7,5.1,1.3,3.7,0.351,1.7,1.4,0.824,1.1,1.2,0.7,0.3,0.2,0.3
Branden Carlson,17.0,10.0,5.0,2.1,3.6,0.565,0.4,0.2,0.429,0.7,2.2,0.6,0.1,0.6,0.2
Oso Ighodaro,25.0,17.5,5.0,2.3,3.8,0.594,1.0,0.4,0.385,0.0,3.6,1.7,0.7,0.6,1.2
Matisse Thybulle,4.0,12.3,5.0,1.5,2.5,0.6,1.0,1.0,1.0,1.0,1.0,0.8,2.5,0.0,0.3
Jalen Wilson,18.0,14.4,5.0,1.6,4.4,0.354,1.2,0.9,0.762,1.0,1.0,0.6,0.2,0.0,0.6
RayJ Dennis,13.0,12.9,4.9,1.7,5.5,0.306,0.7,0.6,0.889,0.9,1.6,2.0,0.2,0.3,1.1
Liam McNeeley,18.0,14.1,4.9,1.4,3.7,0.394,1.3,1.1,0.826,1.0,2.4,0.9,0.2,0.1,0.6
Asa Newell,16.0,9.0,4.9,1.8,3.2,0.569,0.8,0.6,0.75,0.8,1.6,0.4,0.4,0.3,0.4
Micah Peavy,22.0,16.1,4.9,2.0,5.1,0.402,0.6,0.5,0.714,0.3,2.5,1.1,0.6,0.1,0.4
Terrence Shannon Jr.,16.0,14.1,4.9,1.6,3.8,0.41,1.6,1.2,0.76,0.6,1.7,0.9,0.4,0.1,0.9
Tony Bradley,22.0,11.7,4.8,1.9,3.3,0.583,1.3,1.0,0.724,0.0,2.6,0.6,0.1,0.2,0.4
Karlo Matković,16.0,10.9,4.8,2.1,3.0,0.708,0.5,0.2,0.375,0.3,2.7,0.9,0.1,0.6,0.4
Trey Alexander,3.0,12.3,4.7,2.0,3.0,0.667,0.0,0.0,,0.7,1.3,1.3,0.3,0.3,0.3
Jaylen Clark,23.0,14.9,4.7,1.6,3.7,0.43,1.3,0.8,0.6,0.7,2.2,0.5,0.8,0.1,0.3
Gabe Vincent,13.0,21.7,4.7,1.5,4.2,0.345,0.5,0.5,1.0,1.2,0.9,1.5,0.5,0.1,0.5
Jabari Walker,23.0,13.7,4.7,1.7,3.6,0.463,1.1,0.8,0.76,0.5,3.5,0.6,0.1,0.3,0.6
Justin Champagnie,21.0,13.3,4.6,1.5,3.5,0.432,1.4,1.2,0.862,0.3,4.0,0.9,0.7,0.4,0.3
Trayce Jackson-Davis,16.0,12.8,4.6,1.8,3.2,0.549,1.6,1.1,0.654,0.0,3.4,1.1,0.3,0.7,0.5
Jeremiah Robinson-Earl,17.0,17.6,4.6,1.7,4.9,0.349,0.8,0.8,0.929,0.5,5.2,0.7,0.4,0.1,0.6
Nicolas Batum,25.0,19.7,4.5,1.4,3.8,0.379,0.3,0.2,0.857,1.4,2.8,0.8,0.8,0.4,0.7
Spencer Jones,20.0,16.3,4.5,1.7,2.9,0.579,0.7,0.5,0.643,0.7,2.1,0.7,0.6,0.2,0.6
DeAndre Jordan,2.0,11.5,4.5,2.0,2.5,0.8,1.0,0.5,0.5,0.0,5.0,0.0,0.0,0.0,0.5
Kelly Olynyk,14.0,11.1,4.5,1.4,2.9,0.5,1.5,1.1,0.762,0.5,2.5,1.7,0.4,0.0,0.8
Cam Christie,16.0,11.5,4.4,1.3,3.8,0.344,1.8,1.3,0.714,0.6,2.3,0.6,0.4,0.1,0.4
Ousmane Dieng,17.0,12.5,4.4,1.6,3.6,0.443,0.4,0.4,1.0,0.8,1.8,0.9,0.1,0.3,0.4
Keaton Wallace,24.0,14.4,4.4,1.6,4.0,0.4,0.4,0.2,0.5,1.0,1.5,2.7,0.7,0.2,0.7
Nique Clifford,21.0,16.8,4.3,1.6,4.2,0.382,0.9,0.6,0.667,0.5,2.7,1.4,0.4,0.3,0.9
