INDEX,PLAYER_NORM,G,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
10245.0,jake laravia,2.0,22.0,5.5,0.571,0.25,1.0,1.5,0.5,0.5,0.0,0.5
10337.0,sandro mamukelashvili,2.0,16.5,5.5,0.5,1.0,0.5,3.5,2.0,0.0,0.5,1.0
10088.0,naz reid,2.0,21.5,5.5,0.308,1.0,0.5,4.0,2.0,1.0,1.5,1.0
10323.0,xavier tillman,2.0,14.5,5.5,0.455,,0.5,5.0,0.5,1.0,0.5,0.5
10402.0,blake wesley,2.0,17.5,5.5,0.364,0.6,0.0,2.5,4.0,2.0,0.0,2.0
10228.0,jordan clarkson,2.0,14.5,5.0,0.333,,1.0,2.0,0.5,0.0,0.5,0.5
10308.0,noah clowney,2.0,20.0,5.0,0.3,1.0,1.0,4.5,2.5,0.5,0.0,2.5
10037.0,dyson daniels,2.0,27.5,5.0,0.455,0.0,0.0,6.0,3.0,2.0,0.5,2.5
10147.0,jay huff,1.0,12.0,5.0,0.5,,1.0,3.0,0.0,0.0,2.0,0.0
10367.0,gg jackson,1.0,16.0,5.0,0.286,0.5,0.0,2.0,0.0,1.0,0.0,0.0
,daniss jenkins,1.0,5.0,5.0,0.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10067.0,cameron johnson,1.0,32.0,5.0,0.25,,1.0,3.0,2.0,1.0,0.0,1.0
,keshad johnson,1.0,8.0,5.0,0.4,,1.0,3.0,0.0,1.0,0.0,0.0
,david jones garcia,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
10481.0,yanic konan niederhauser,2.0,4.5,5.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
10253.0,vit krejci,1.0,14.0,5.0,0.667,,1.0,2.0,1.0,0.0,0.0,1.0
10192.0,naji marshall,2.0,24.0,5.0,0.25,0.857,0.0,3.5,2.5,1.0,0.0,0.5
10178.0,yves missi,1.0,23.0,5.0,0.5,0.5,0.0,7.0,1.0,1.0,1.0,3.0
,ryan nembhard,2.0,12.5,5.0,0.444,1.0,0.0,0.5,2.5,0.0,0.0,1.5
