INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10397.0,pat connaughton,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.007884159469064,377
10322.0,carter bryant,4.0,7.0,1.3,0.8,0.0,0.0,0.3,0.3,0.167,1.0,0.8,-5.01469318341118,378
,moussa cisse,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
,sidy cissoko,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
,mohamed diawara,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
10340.0,johnny furphy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
10542.0,ron harper,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
10348.0,gary harris,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
10452.0,caleb houstan,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
,hunter sallis,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
,jahmyl telfort,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
10428.0,jordan walsh,3.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
,jamir watkins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.136091512058483,379
10304.0,thomas bryant,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.333,,0.0,-5.211979037993798,380
10332.0,keaton wallace,5.0,10.2,2.2,1.0,1.8,0.2,0.0,0.4,0.4,0.5,0.8,-5.290469077070761,381
10346.0,oso ighodaro,5.0,17.6,4.8,3.2,1.2,0.0,0.4,0.0,0.458,0.333,1.2,-5.3118887579707375,382
,yang hansen,5.0,5.8,1.8,0.8,0.0,0.0,0.4,0.0,0.222,0.833,0.6,-5.3610234630709375,383
10239.0,justin champagnie,3.0,4.0,1.3,2.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,-5.403285525306904,384
,jahmir young,2.0,5.0,1.0,0.5,1.0,0.0,0.0,0.0,0.333,,0.5,-5.513537240272654,385
10424.0,jett howard,3.0,5.3,1.0,0.3,0.3,0.0,0.3,0.3,0.2,,0.3,-5.5472509291237495,386
10128.0,andrew nembhard,1.0,17.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,-5.564487555387933,387
,sharife cooper,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,-5.631699158698486,388
10241.0,karlo matkovic,2.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.333,,0.0,-5.6895857728297585,389
10487.0,isaac jones,3.0,5.7,1.0,0.7,0.3,0.0,0.0,0.0,0.5,0.5,0.0,-5.691960271068053,390
10303.0,julian strawther,3.0,5.0,3.0,1.3,0.7,0.0,0.0,0.3,0.375,0.5,0.3,-5.693090921680619,391
,spencer jones,4.0,3.8,0.5,0.3,0.0,0.5,0.0,0.0,0.333,,1.0,-5.80723794391148,392
10367.0,gg jackson,2.0,9.0,2.5,1.0,0.0,0.5,0.0,0.0,0.286,0.5,0.0,-5.83377927998929,393
10255.0,tristan vukcevic,3.0,6.7,2.7,1.3,0.0,0.0,0.3,0.3,0.429,0.333,0.3,-6.007386727002266,394
10502.0,bryce mcgowens,2.0,4.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-6.045783604169321,395
,miles kelly,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,-6.127306805338487,396
10390.0,maxime raynaud,1.0,11.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,1.0,-6.146830890290098,397
